iter	Accuracy	MultiClass
0	0.317450676	2.647996523
1	0.430740278	2.591250231
2	0.4777711733	2.545832255
3	0.4462432323	2.510799226
4	0.4846087532	2.447620718
5	0.5417527463	2.390136748
6	0.5539255284	2.359096268
7	0.5579329984	2.321007864
8	0.5443720679	2.273576312
9	0.5521315592	2.239298226
10	0.5559992046	2.210515839
11	0.5759048932	2.184971763
12	0.5810363349	2.153610605
13	0.5891214233	2.11838875
14	0.5885434582	2.078146042
15	0.5907834628	2.038481296
16	0.5868910933	2.012463271
17	0.5998907718	1.988328209
18	0.6077141231	1.963793326
19	0.6030852022	1.931548458
20	0.6083293766	1.915063533
21	0.611197368	1.89101656
22	0.6239404287	1.857092668
23	0.6450362361	1.831040774
24	0.6430063426	1.80095461
25	0.6468170223	1.784353421
26	0.6638114894	1.762664149
27	0.6592310227	1.742634713
28	0.6569253224	1.727490583
29	0.6605455747	1.713668002
30	0.6661118301	1.695953987
31	0.6772623973	1.678462272
32	0.6907437085	1.657507774
33	0.6937942906	1.63821289
34	0.6948692862	1.625935734
35	0.6953079857	1.607599511
36	0.7053566468	1.590919488
37	0.7139774935	1.56967951
38	0.7191334486	1.552080335
39	0.7171044049	1.53442493
40	0.7274449539	1.520165861
41	0.727488359	1.506710755
42	0.7318160869	1.495314169
43	0.7311665791	1.483069647
44	0.7343170451	1.472640101
45	0.7365634556	1.453962947
46	0.7387916284	1.441478597
47	0.7416858473	1.426585689
48	0.7530397052	1.407079239
49	0.7444397404	1.40417679
50	0.7513840138	1.39319797
51	0.7690482169	1.37839526
52	0.7679855978	1.361654755
53	0.7717291506	1.354093315
54	0.7747919132	1.343851841
55	0.7715400161	1.330195272
56	0.7748236391	1.321695585
57	0.7829197675	1.306417278
58	0.7862237856	1.292956385
59	0.7854042019	1.280836262
60	0.7953640191	1.267002672
61	0.7980019909	1.257557543
62	0.7995041449	1.244058486
63	0.8072103827	1.225439405
64	0.8071899876	1.206414706
65	0.804523798	1.196167349
66	0.8090867386	1.184421908
67	0.8055264735	1.176938347
