iter	Passed	Remaining
0	235	117638
1	578	144045
2	830	137663
3	910	112938
4	1149	113844
5	1397	115066
6	1637	115349
7	1877	115465
8	2092	114148
9	2300	112732
10	2493	110847
11	2690	109422
12	2940	110138
13	3189	110722
14	3387	109514
15	3607	109117
16	3794	107794
17	4000	107115
18	4144	104931
19	4318	103641
20	4508	102830
21	4681	101720
22	4865	100900
23	5034	99846
24	5201	98826
25	5371	97930
26	5611	98311
27	5761	97127
28	5927	96275
29	6097	95527
30	6273	94913
31	6450	94343
32	6625	93755
33	6792	93097
34	6952	92369
35	7126	91846
36	7372	92252
37	7465	90764
38	7696	90976
39	7920	91080
40	8143	91171
41	8317	90697
42	8488	90214
43	8664	89797
44	8892	89917
45	9251	91305
46	9490	91470
47	9676	91122
48	9878	90923
49	9925	89329
50	10105	88968
51	10279	88559
52	10517	88700
53	10720	88539
54	10892	88131
55	11098	87997
56	11303	87850
57	11498	87622
58	11667	87208
59	11850	86901
60	12018	86495
61	12164	85933
62	12343	85618
63	12509	85220
64	12669	84789
65	12831	84375
66	12993	83974
67	13167	83652
