iter	Passed	Remaining
0	299	149675
1	510	127095
2	747	123844
3	895	111033
4	1116	110575
5	1362	112155
6	1618	114005
7	1852	113942
8	2131	116268
9	2343	114816
10	2548	113297
11	2776	112931
12	3054	114432
13	3373	117091
14	3637	117598
15	3883	117480
16	4150	117928
17	4405	117958
18	4678	118437
19	4695	112696
20	4959	113121
21	5194	112872
22	5475	113559
23	5763	114306
24	6087	115660
25	6319	115214
26	6645	116412
27	6944	117067
28	7182	116658
29	7269	113894
30	7540	114074
31	7837	114618
32	8077	114307
33	8349	114430
34	8429	111991
35	8999	115989
36	9263	115925
37	9550	116116
38	9787	115698
39	9947	114397
40	10170	113863
41	10353	112899
42	10549	112118
43	10821	112148
44	11067	111901
45	11341	111935
46	11603	111838
47	11825	111357
48	12060	111009
49	12300	110707
50	12513	110164
51	12570	108302
52	12852	108400
53	13207	109083
54	13455	108864
55	13678	108452
56	13863	107744
57	14044	107030
58	14245	106477
59	14525	106523
60	14797	106493
61	15226	107569
62	15514	107613
63	15741	107236
64	15955	106777
65	16177	106377
66	16391	105935
67	16584	105359
68	16893	105520
69	17116	105145
70	17428	105309
71	17676	105078
72	17954	105021
73	18302	105361
74	18521	104956
75	18752	104618
76	18967	104195
77	19168	103707
78	19373	103241
79	19554	102659
80	19756	102199
81	19943	101665
82	20131	101140
83	20302	100546
84	20480	99993
85	20642	99373
86	20823	98851
87	21003	98336
88	21177	97797
89	21341	97220
90	21496	96617
91	21656	96043
92	21807	95438
93	21994	94996
94	22204	94662
95	22365	94121
96	22553	93702
97	22736	93265
98	22922	92847
99	23107	92429
100	23437	92589
101	23639	92238
102	23832	91859
103	24031	91505
104	24233	91165
105	24398	90687
106	24633	90475
107	24839	90159
108	25053	89869
109	25459	90264
110	25859	90624
111	26081	90355
112	26292	90045
113	26462	89599
114	26641	89191
115	26836	88838
116	27042	88525
117	27247	88209
118	27521	88115
119	27863	88233
120	28168	88229
121	28402	88001
122	28588	87624
123	28794	87311
124	28970	86912
125	29198	86667
126	29365	86246
127	29559	85907
128	29867	85897
129	30223	86021
130	30548	86048
131	30964	86325
132	31224	86160
133	31467	85949
134	31768	85892
135	32042	85761
136	32300	85584
137	32620	85568
138	32878	85390
139	33116	85156
140	33361	84941
141	33580	84660
142	33786	84349
143	34082	84260
144	34337	84067
145	34739	84232
146	35016	84086
147	35261	83864
148	35453	83517
149	35697	83293
150	35915	83009
151	36157	82780
152	36480	82736
153	36894	82892
154	37214	82831
155	37557	82818
156	37842	82674
157	38250	82794
158	38494	82556
159	38732	82306
160	38920	81950
161	39111	81602
162	39349	81355
163	39561	81051
164	39882	80973
165	40132	80748
166	40372	80503
