iter	Passed	Remaining
0	163	81418
1	384	95711
2	644	106843
3	867	107587
4	1164	115244
5	1328	109377
6	1480	104294
7	1635	100561
8	1785	97412
9	1924	94315
10	2093	93079
11	2266	92175
12	2419	90643
13	2501	86851
14	2642	85434
15	2776	84000
16	2915	82820
17	3071	82242
18	3237	81957
19	3405	81721
20	3416	77933
21	3574	77665
22	3716	77068
23	3854	76440
24	4021	76410
25	4034	73544
26	4195	73494
27	4345	73258
28	4513	73312
29	4661	73037
30	4837	73193
31	5015	73348
32	5186	73400
33	5361	73480
34	5501	73095
35	5669	73077
36	5836	73031
37	5984	72762
38	6223	73565
39	6429	73940
40	6592	73798
41	6748	73589
42	6901	73348
43	7079	73371
44	7244	73246
45	7418	73216
46	7581	73068
47	7749	72973
48	7783	71639
49	7927	71346
50	8078	71125
51	8262	71186
52	8443	71211
53	8632	71295
54	8798	71186
55	8955	71007
56	9131	70969
57	9316	71000
58	9518	71148
59	9690	71064
60	9938	71527
61	10110	71427
62	10286	71353
63	10440	71123
64	10601	70949
65	10771	70830
66	10922	70588
67	11085	70427
68	11247	70254
69	11416	70127
70	11573	69929
71	11733	69749
72	11893	69570
73	12069	69483
74	12235	69332
