iter	Accuracy	MultiClass
0	0.2807883356	2.639227664
1	0.3006233659	2.587473672
2	0.3540943874	2.535342111
3	0.3694729602	2.49308625
4	0.3869712664	2.455903932
5	0.4182679912	2.417444745
6	0.4555419872	2.375131234
7	0.4950533917	2.334771938
8	0.4782301414	2.299316086
9	0.482728727	2.276036862
10	0.4966808421	2.235583481
11	0.5000201381	2.200315657
12	0.4982179358	2.180903015
13	0.5328804612	2.134209982
14	0.5442339	2.118317814
15	0.5521888382	2.095926416
16	0.5587397894	2.066434493
17	0.5895046711	2.028178474
18	0.6004237094	2.000343342
19	0.5963532809	1.980248091
20	0.5945632231	1.980051471
21	0.6070434947	1.95715507
22	0.6140498144	1.942403259
23	0.6197804158	1.920648904
24	0.6225907408	1.89587268
25	0.6234169213	1.895715433
26	0.6353163934	1.870044576
27	0.6295341559	1.860900106
28	0.6426379689	1.842419828
29	0.6375331896	1.819444836
30	0.6382767522	1.800914874
31	0.6482519122	1.787500556
32	0.6589461672	1.76450177
33	0.6704058295	1.742340014
34	0.6684301806	1.727591483
35	0.6605542687	1.709360226
36	0.668636469	1.685081007
37	0.6747567473	1.675832483
38	0.6795507112	1.658625137
39	0.6781497964	1.646456747
40	0.6800154377	1.629650569
41	0.6841632529	1.609837017
42	0.6815365378	1.603681638
43	0.6924955313	1.589365418
44	0.6981316188	1.574721049
45	0.7169246165	1.554509541
46	0.7207796337	1.538996515
47	0.7175330907	1.521292162
48	0.7209478203	1.518293966
49	0.7260303056	1.505741208
50	0.7313268907	1.491827444
51	0.7349381378	1.474847752
52	0.7441116918	1.460231683
53	0.7502336378	1.444251924
54	0.7522474528	1.436938613
55	0.7480065426	1.427042971
56	0.7591711402	1.423044909
57	0.7599973207	1.408190059
58	0.7678694909	1.393933053
59	0.7674396803	1.377817198
60	0.7699182217	1.359300369
61	0.7676432322	1.346025691
62	0.7827344964	1.331544638
63	0.7788957078	1.317263176
64	0.7847645399	1.304398112
65	0.7921375593	1.290920856
66	0.7913113788	1.2772751
67	0.7941863044	1.259489542
68	0.7968130196	1.246640542
69	0.7945859244	1.23910461
70	0.7974259198	1.224714653
71	0.801305376	1.214150644
72	0.80070869	1.201364515
73	0.804725843	1.190558296
74	0.8055462861	1.180067363
