iter	Accuracy	MultiClass
0	0.2980306015	2.650534686
1	0.31022156	2.604242209
2	0.3370983236	2.555287615
3	0.3466382246	2.553168491
4	0.381611893	2.538578525
5	0.4060751444	2.490301293
6	0.3875135604	2.472965265
7	0.4421291971	2.425633305
8	0.4506376164	2.377638761
9	0.4804872761	2.334246388
10	0.4847624295	2.305829784
11	0.5170821268	2.25273877
12	0.5268911882	2.225864271
13	0.5311164585	2.200050202
14	0.5407631833	2.165483136
15	0.5423236597	2.130882714
16	0.5642626173	2.098052249
17	0.5712459019	2.064088506
18	0.5844692936	2.030788313
19	0.5804490657	2.022278195
20	0.5835631468	2.009527626
21	0.5858790728	1.985779091
22	0.5986371337	1.956588039
23	0.5915209866	1.932941799
24	0.5971046365	1.918888482
25	0.6002593104	1.897060836
26	0.6020184402	1.878774305
27	0.6149926334	1.857199565
28	0.6165388749	1.854376907
29	0.6223588253	1.830894361
30	0.6216058303	1.816662934
31	0.622791282	1.809890154
32	0.6276456337	1.790528793
33	0.6299938077	1.784062068
34	0.6375217949	1.757799746
35	0.6415420227	1.757582482
36	0.6445618569	1.733678129
37	0.6471837447	1.723706392
38	0.6494826823	1.707309529
39	0.6552081935	1.684595758
40	0.6631367308	1.667357213
41	0.6647654384	1.649788602
42	0.6623088245	1.642963316
43	0.6665990312	1.627019219
44	0.671355223	1.608560627
45	0.6806461173	1.595517882
46	0.6849732884	1.581585623
47	0.6945977828	1.569098611
48	0.7007899767	1.5508371
49	0.7032950373	1.529941523
50	0.7069196237	1.514744037
51	0.7152446347	1.502930141
52	0.7212645189	1.487378495
53	0.7122666882	1.470725405
54	0.733401138	1.447045295
55	0.7336082995	1.432487226
56	0.7370373701	1.417963606
57	0.7372258643	1.408189662
58	0.7388345958	1.402037635
59	0.7396649847	1.388581158
60	0.74663927	1.381135004
61	0.7405406973	1.36056315
62	0.7549548051	1.346104656
63	0.7732559371	1.326247765
64	0.7791764734	1.320809499
65	0.7884673677	1.301277896
66	0.7877801494	1.291654196
67	0.7942014159	1.279188243
68	0.7991590282	1.256188662
69	0.798722794	1.247282097
70	0.8001211341	1.239989477
71	0.8121142694	1.223858402
72	0.8115405914	1.214216654
73	0.8147767499	1.201113237
74	0.8116665956	1.189901592
75	0.817705581	1.172423081
76	0.8223400796	1.153962009
77	0.8191768829	1.142260807
78	0.8189697214	1.13085723
79	0.8265789225	1.115450815
80	0.8287961979	1.100868082
81	0.8312076943	1.087239842
82	0.8300165157	1.076603412
83	0.8328570185	1.065345786
84	0.8354627218	1.058483467
85	0.8387767366	1.042757936
86	0.8353763285	1.031043359
87	0.8365894185	1.015910804
88	0.8411358733	1.006266913
89	0.8421490296	0.9916829615
90	0.8443720318	0.9836198142
91	0.8443720318	0.9737142886
92	0.8459297269	0.9598249458
93	0.8471428169	0.9495531896
94	0.8521778656	0.9390694034
95	0.8507795255	0.9330200837
96	0.8521778656	0.9240916801
97	0.8504130091	0.9145303195
98	0.8553848851	0.9038267893
99	0.8574007258	0.8985377001
100	0.8538271899	0.8884847749
101	0.8542156178	0.8774524644
102	0.8542156178	0.8698603614
103	0.8588501164	0.8619919292
104	0.8618620966	0.852465602
105	0.861913147	0.8453828829
106	0.8637160994	0.8373057084
107	0.8717510061	0.8286509537
108	0.8755097922	0.8241350813
109	0.8791343786	0.8152316351
110	0.8785607006	0.8082031279
111	0.8792421922	0.8023417996
112	0.8822898565	0.7940183379
113	0.8836881966	0.789761731
114	0.8848793752	0.7861791893
115	0.8848793752	0.7796229395
116	0.8895519697	0.7721960075
117	0.8895519697	0.7644275828
118	0.8883607911	0.7561360118
119	0.8901475591	0.7508364631
120	0.8913387377	0.7484847247
121	0.8909722212	0.7436669397
122	0.8908992593	0.7362494997
123	0.8921633998	0.7303659556
124	0.8957790153	0.7233719165
125	0.8982343343	0.7182162463
126	0.8960332436	0.711418316
127	0.8982562458	0.708963816
128	0.9031011357	0.7039162385
129	0.9044994758	0.6980528995
130	0.9048659923	0.6912351825
131	0.909751475	0.6843273517
132	0.9151595853	0.6796899136
133	0.9123629051	0.6722840361
134	0.9123629051	0.6683404572
135	0.911538243	0.6636549107
136	0.9182226159	0.6604102761
137	0.9190472781	0.6570776708
138	0.9178560995	0.6559218414
139	0.9192544395	0.6524745972
140	0.9218439582	0.6469475531
141	0.9249069889	0.6452141328
142	0.9218439582	0.643301165
143	0.922490598	0.6402019296
