iter	Passed	Remaining
0	198	99177
1	357	89047
2	546	90520
3	611	75796
4	668	66163
5	759	62510
6	795	56024
7	955	58769
8	1102	60165
9	1259	61737
10	1412	62774
11	1614	65652
12	1796	67304
13	1946	67569
14	2112	68310
15	2258	68310
16	2431	69086
17	2649	70934
18	2881	72954
19	2920	70095
20	3084	70354
21	3254	70716
22	3405	70630
23	3560	70615
24	3719	70667
25	3912	71326
26	4071	71330
27	4241	71491
28	4270	69351
29	4467	69993
30	4648	70324
31	4724	69096
32	4909	69479
33	4954	67909
34	5147	68389
35	5163	66546
36	5346	66904
37	5540	67364
38	5731	67745
39	5925	68147
40	6078	68049
41	6244	68094
42	6391	67933
43	6543	67815
44	6709	67844
45	6867	67775
46	7013	67598
47	7195	67755
48	7372	67859
49	7557	68013
50	7740	68147
51	7928	68305
52	8128	68553
53	8294	68507
54	8463	68480
55	8639	68498
56	8803	68416
57	8982	68450
58	9150	68396
59	9415	69045
60	9564	68834
61	9728	68726
62	9901	68683
63	10075	68636
64	10225	68432
65	10377	68241
66	10537	68102
67	10690	67914
68	10841	67718
69	11069	68001
70	11288	68209
71	11562	68733
72	11808	69069
73	12020	69196
74	12215	69218
75	12385	69095
76	12548	68934
77	12724	68844
78	12903	68762
79	13069	68614
80	13243	68505
81	13410	68359
82	13589	68274
83	13877	68725
84	14078	68734
85	14270	68697
86	14460	68643
87	14623	68464
88	14786	68283
89	14943	68077
90	15109	67908
91	15269	67716
92	15405	67417
93	15554	67182
94	15710	66976
95	15881	66836
96	16015	66540
97	16155	66271
98	16294	66001
99	16449	65799
100	16609	65616
101	16783	65489
102	16967	65399
103	17133	65240
104	17279	65002
105	17433	64799
106	17568	64527
107	17706	64268
108	17878	64132
109	18050	63996
110	18286	64084
111	18445	63899
112	18591	63671
113	18761	63526
114	18920	63343
115	19056	63083
116	19212	62890
117	19347	62632
118	19487	62392
119	19653	62234
120	19829	62110
121	20045	62108
122	20260	62100
123	20421	61922
124	20608	61825
125	20782	61687
126	20948	61524
127	21116	61370
128	21288	61225
129	21444	61033
130	21600	60843
131	21750	60638
132	21906	60449
133	22078	60303
134	22257	60176
135	22441	60065
136	22598	59876
137	22782	59761
138	22967	59650
139	23182	59613
140	23335	59415
141	23518	59293
142	23693	59149
143	23867	59005
