iter	Accuracy	MultiClass
109	0.8986379473	0.6879419495
110	0.8974033794	0.6845999007
111	0.8992552313	0.6804343765
112	0.9008221828	0.6749222111
113	0.8989703309	0.6694403351
114	0.9024398082	0.6638118574
115	0.9036743761	0.6599766861
116	0.9034537332	0.6553531559
117	0.9063749934	0.6504597477
118	0.9055202926	0.6469365139
119	0.9057577094	0.6417880458
120	0.9106959811	0.6391819231
121	0.911930549	0.635608559
122	0.9123104161	0.6314945145
123	0.9090092888	0.6274428678
124	0.906540153	0.6232123976
125	0.9096794828	0.6187597716
126	0.9109140507	0.6140069745
127	0.9115313347	0.6105918065
128	0.9109140507	0.6058480714
129	0.9162353799	0.6011918934
130	0.9216257759	0.5956875849
131	0.9210312014	0.5923553132
132	0.9195819261	0.5895182698
133	0.9233351776	0.5853926117
134	0.9269600551	0.5818559842
135	0.927814756	0.5783475036
136	0.9286694568	0.5758480923
137	0.927814756	0.5725673787
138	0.927814756	0.5702542362
139	0.927814756	0.5679771028
140	0.9292640313	0.5640869716
141	0.9292640313	0.5612163186
142	0.9286694568	0.5582610584
143	0.9301187322	0.5539154694
144	0.9303334396	0.5495878958
145	0.9307133066	0.5454246392
146	0.9326180685	0.5435201141
147	0.9311687932	0.541016696
148	0.9331088284	0.5381623841
149	0.9299342253	0.5336698219
150	0.9326180685	0.5317621163
151	0.9334727694	0.5289600223
152	0.9366473725	0.5246764161
153	0.9357767456	0.5220455613
154	0.9389513487	0.5196862355
155	0.9366314464	0.5166439655
156	0.9415154513	0.5126929866
157	0.9423701521	0.5093538257
158	0.9440795539	0.5062535408
159	0.9440795539	0.5044359279
160	0.94638353	0.5009438717
161	0.9490900828	0.4975124877
162	0.9501401439	0.494785852
163	0.9509948447	0.4914212238
164	0.9490900828	0.4888403971
165	0.9490900828	0.4865115749
166	0.9490900828	0.4839902548
167	0.9509419348	0.4810982107
168	0.9509948447	0.4787468855
169	0.9509948447	0.4759251625
170	0.9509948447	0.4734686348
171	0.9509948447	0.4712775723
172	0.9528466967	0.4696972691
173	0.9509948447	0.4675859995
174	0.9528466967	0.4645112987
175	0.9537013975	0.462849262
176	0.9559860265	0.4596973323
177	0.9549359654	0.457636325
178	0.9580752952	0.4553771281
179	0.9568407273	0.4532568634
180	0.9580752952	0.450769181
181	0.9580752952	0.4488790593
182	0.9589299961	0.4473935042
183	0.9589299961	0.4466948848
184	0.9580752952	0.4453557048
185	0.9580752952	0.4424525259
186	0.9580752952	0.44082919
