iter	Accuracy	MultiClass
0	0.3327525332	2.636323068
1	0.3974322372	2.57836469
2	0.4693634217	2.509335356
3	0.5249612216	2.461444181
4	0.5250036841	2.411651907
5	0.5350692174	2.364512408
6	0.5407649461	2.336389267
7	0.5646436006	2.288021195
8	0.5776106461	2.247232532
9	0.5975061441	2.211117007
10	0.585939092	2.177285783
11	0.5964709261	2.134022086
12	0.6201739711	2.109583516
13	0.6041452668	2.075883563
14	0.6097253958	2.073697234
15	0.5998955079	2.046902619
16	0.6089274492	2.019987897
17	0.6020593061	2.006406103
18	0.6189263348	1.986668666
19	0.6235911325	1.962196969
20	0.6223361187	1.932005569
21	0.6278197829	1.922031602
22	0.6309066627	1.921824467
23	0.621931611	1.895623817
24	0.6266262266	1.88786515
25	0.6262568564	1.887691206
26	0.6492950489	1.860724143
27	0.6404781482	1.841419474
28	0.6427491298	1.818864155
29	0.6579473963	1.803385987
30	0.6610162881	1.780179169
31	0.6663642559	1.756767585
32	0.6848304598	1.733899916
33	0.6936117428	1.710600905
34	0.6979187274	1.693197873
35	0.6928118398	1.670111267
36	0.6891858957	1.648806507
37	0.68965338	1.648602792
38	0.6920256086	1.632564306
39	0.6939595257	1.628440568
40	0.6965025882	1.610355654
41	0.6967555266	1.597145365
42	0.6977030415	1.588353674
43	0.7077758011	1.573085164
44	0.715076635	1.55386546
45	0.7158897299	1.546976958
46	0.7283981895	1.531487639
47	0.729681751	1.518573988
48	0.7384668409	1.504206011
49	0.7378732102	1.493529663
50	0.7354045451	1.480587181
51	0.7407129231	1.466636395
52	0.7491617728	1.450905424
53	0.7474996066	1.440003109
54	0.7530797356	1.430291604
55	0.7480658786	1.417700638
56	0.7481173266	1.405540974
57	0.76104874	1.387511279
58	0.7702772248	1.372816513
59	0.774226504	1.357640839
60	0.7787226115	1.347989624
61	0.782438396	1.332055692
62	0.7866342112	1.322794671
63	0.7848335312	1.306565382
64	0.7928211628	1.293772939
65	0.7959080427	1.27961127
66	0.7995951493	1.260705646
67	0.8005647462	1.246659498
68	0.801973974	1.227990061
69	0.802805057	1.215815547
70	0.8040569584	1.201442707
71	0.8066666395	1.186281558
72	0.8046351031	1.172144574
73	0.8117599914	1.157487643
74	0.8097192207	1.150949648
75	0.8149698992	1.138396018
76	0.8193581782	1.126411726
77	0.8227931709	1.11676471
78	0.8228315634	1.100573548
79	0.8276757838	1.082522907
80	0.8261501242	1.070797731
81	0.8307855702	1.059519481
82	0.835796158	1.047858863
83	0.836765755	1.035608585
84	0.838653006	1.020602421
85	0.8475871489	1.00679251
86	0.8491569724	0.9928811185
87	0.8577798173	0.981098255
88	0.8538839365	0.9690814283
89	0.8550843897	0.9587843744
90	0.8570717622	0.9477144211
91	0.8584809899	0.935843362
92	0.8570717622	0.9229926217
93	0.8641775508	0.9132432118
94	0.8686614418	0.9010642353
95	0.8684820334	0.8921849048
96	0.8749859178	0.8815633564
97	0.8729543815	0.874128439
98	0.8721232984	0.8660762043
99	0.8739239784	0.8559291359
100	0.8745242052	0.845829887
101	0.8804737044	0.8388721624
102	0.8847676336	0.8291532771
103	0.8829669536	0.8205638529
104	0.8847189665	0.8139119871
105	0.8822282131	0.8060310429
106	0.8884555647	0.7989684509
107	0.8884555647	0.7906535426
108	0.8910328892	0.7801829153
109	0.8884497933	0.7760499905
110	0.8912682488	0.7677783832
111	0.8926774765	0.7638256122
112	0.8956299427	0.7604633985
113	0.8984483982	0.7524319307
114	0.8984483982	0.7465245104
115	0.8972479449	0.7413925838
116	0.8958387172	0.7345888524
117	0.898910111	0.7283701905
118	0.898910111	0.7233456609
119	0.8997411941	0.7174256788
120	0.9077842314	0.7104001442
121	0.9023026966	0.7037714619
122	0.9031337796	0.6992965505
123	0.9094406261	0.6953259984
124	0.9094406261	0.6886712396
125	0.9086095431	0.6818255619
126	0.9094406261	0.6768990679
127	0.9116809369	0.6720085034
128	0.9130901647	0.6686316639
129	0.9094093099	0.6615082384
130	0.9126505339	0.6573113854
131	0.914290618	0.6518290087
132	0.9172917513	0.6481801639
133	0.916900299	0.6437523633
134	0.917731382	0.638587211
135	0.9171311555	0.6339628325
